data_referencia,dias_medidos
2018-12-01,30
2019-01-01,30
2019-02-01,31
2019-03-01,31
2019-04-01,29
2019-06-01,32
2020-02-01,30
2020-03-01,31
2020-04-01,30
2020-05-01,30
2020-06-01,32
2020-07-01,30
2020-08-01,32
2020-09-01,29
2020-10-01,31
2020-11-01,30
2020-12-01,13
